Seção;Divisão;Grupo;Classe;Denominação
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras temporárias;1121;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras permanentes;1351;Cultivo de cacau
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras permanentes;1342;Cultivo de café
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras temporárias;1130;Cultivo de cana-de-açúcar
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras temporárias;1113;Cultivo de cereais
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Horticultura e floricultura;1229;Cultivo de flores e plantas ornamentais
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras permanentes;1334;Cultivo de frutas de lavoura permanente, exceto laranja e uva
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras temporárias;1148;Cultivo de fumo
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras permanentes;1318;Cultivo de laranja
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras temporárias;1164;Cultivo de oleaginosas de lavoura temporária, exceto soja
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras permanentes;1393;Cultivo de plantas de lavoura permanente não especificadas anteriormente
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras temporárias;1199;Cultivo de plantas de lavoura temporária não especificadas anteriormente
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras temporárias;11;Cultivo de plantas de lavoura temporária não especificadas anteriormente
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras temporárias;1;Cultivo de plantas de lavoura temporária não especificadas anteriormente
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras temporárias;1156;Cultivo de soja
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras permanentes;1326;Cultivo de uva
INDÚSTRIAS DE TRANSFORMAÇÃO;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;Curtimento e outras preparações de couro;15106;Curtimento e outras preparações de couro
ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;Serviços coletivos prestados pela administração pública;84221;Defesa
ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;Serviços coletivos prestados pela administração pública;84256;Defesa Civil
CONSTRUÇÃO;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO;Demolição e preparação do terreno;43118;Demolição e preparação de canteiros de obras
ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO;DESCONTAMINAÇÃO E OUTROS SERVIÇOS DE GESTÃO DE RESÍDUOS;Descontaminação e outros serviços de gestão de resíduos;39005;Descontaminação e outros serviços de gestão de resíduos
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS DE MADEIRA;Desdobramento de madeira;16102;Desdobramento de madeira
INFORMAÇÃO E COMUNICAÇÃO;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;Atividades dos serviços de tecnologia da informação;62015;Desenvolvimento de programas de computador sob encomenda
INFORMAÇÃO E COMUNICAÇÃO;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;Atividades dos serviços de tecnologia da informação;62023;Desenvolvimento e licenciamento de programas de computador customizáveis
INFORMAÇÃO E COMUNICAÇÃO;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;Atividades dos serviços de tecnologia da informação;62031;Desenvolvimento e licenciamento de programas de computador não-customizáveis
ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;Design e decoração de interiores;74102;Design e decoração de interiores
INFORMAÇÃO E COMUNICAÇÃO;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA";Atividades cinematográficas, produção de vídeos e de programas de televisão;59138;Distribuição cinematográfica, de vídeo e de programas de televisão
ELETRICIDADE E GÁS;ELETRICIDADE, GÁS E OUTRAS UTILIDADES;Geração, transmissão e distribuição de energia elétrica;35140;Distribuição de energia elétrica
INFORMAÇÃO E COMUNICAÇÃO;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;Edição de livros, jornais, revistas e outras atividades de edição;58191;Edição de cadastros, listas e outros produtos gráficos
INFORMAÇÃO E COMUNICAÇÃO;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;Edição de livros, jornais, revistas e outras atividades de edição;58123;Edição de jornais
INFORMAÇÃO E COMUNICAÇÃO;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;Edição de livros, jornais, revistas e outras atividades de edição;58115;Edição de livros
INFORMAÇÃO E COMUNICAÇÃO;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;Edição de livros, jornais, revistas e outras atividades de edição;58131;Edição de revistas
INFORMAÇÃO E COMUNICAÇÃO;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;Edição integrada à impressão de livros, jornais, revistas e outras publicações;58298;Edição integrada à impressão de cadastros, listas e outros produtos gráficos
INFORMAÇÃO E COMUNICAÇÃO;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;Edição integrada à impressão de livros, jornais, revistas e outras publicações;58221;Edição integrada à impressão de jornais
INFORMAÇÃO E COMUNICAÇÃO;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;Edição integrada à impressão de livros, jornais, revistas e outras publicações;58212;Edição integrada à impressão de livros
INFORMAÇÃO E COMUNICAÇÃO;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;Edição integrada à impressão de livros, jornais, revistas e outras publicações;58239;Edição integrada à impressão de revistas
EDUCAÇÃO;EDUCAÇÃO;Educação infantil e ensino fundamental;85112;Educação infantil - creche
EDUCAÇÃO;EDUCAÇÃO;Educação infantil e ensino fundamental;85121;Educação infantil - pré-escola
EDUCAÇÃO;EDUCAÇÃO;Educação profissional de nível técnico e tecnológico;85414;Educação profissional de nível técnico
EDUCAÇÃO;EDUCAÇÃO;Educação profissional de nível técnico e tecnológico;85422;Educação profissional de nível tecnológico
EDUCAÇÃO;EDUCAÇÃO;Educação superior;85317;Educação superior - graduação
EDUCAÇÃO;EDUCAÇÃO;Educação superior;85325;Educação superior - graduação e pós-graduação
EDUCAÇÃO;EDUCAÇÃO;Educação superior;85333;Educação superior - pós-graduação e extensão
EDUCAÇÃO;EDUCAÇÃO;Outras atividades de ensino;85929;Ensino de arte e cultura
EDUCAÇÃO;EDUCAÇÃO;Outras atividades de ensino;85911;Ensino de esportes
EDUCAÇÃO;EDUCAÇÃO;Outras atividades de ensino;85937;Ensino de idiomas
EDUCAÇÃO;EDUCAÇÃO;Educação infantil e ensino fundamental;85139;Ensino fundamental
EDUCAÇÃO;EDUCAÇÃO;Ensino médio;85201;Ensino médio
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS;Outras atividades de serviços prestados principalmente às empresas;82920;Envasamento e empacotamento sob contrato
TRANSPORTE, ARMAZENAGEM E CORREIO;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;Atividades auxiliares dos transportes terrestres;52231;Estacionamento de veículos
INDÚSTRIAS EXTRATIVAS;EXTRAÇÃO DE CARVÃO MINERAL;Extração de carvão mineral;5003;Extração de carvão mineral
INDÚSTRIAS EXTRATIVAS;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS;Extração de outros minerais não-metálicos;8932;Extração de gemas (pedras preciosas e semipreciosas)
INDÚSTRIAS EXTRATIVAS;EXTRAÇÃO DE MINERAIS METÁLICOS;Extração de minerais metálicos não-ferrosos;7294;Extração de minerais metálicos não-ferrosos não especificados anteriormente
INDÚSTRIAS EXTRATIVAS;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS;Extração de outros minerais não-metálicos;8991;Extração de minerais não-metálicos não especificados anteriormente
INDÚSTRIAS EXTRATIVAS;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS;Extração de outros minerais não-metálicos;8916;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos
INDÚSTRIAS EXTRATIVAS;EXTRAÇÃO DE MINERAIS METÁLICOS;Extração de minerais metálicos não-ferrosos;7251;Extração de minerais radioativos
INDÚSTRIAS EXTRATIVAS;EXTRAÇÃO DE MINERAIS METÁLICOS;Extração de minerais metálicos não-ferrosos;7219;Extração de minério de alumínio
INDÚSTRIAS EXTRATIVAS;EXTRAÇÃO DE MINERAIS METÁLICOS;Extração de minerais metálicos não-ferrosos;7227;Extração de minério de estanho
INDÚSTRIAS EXTRATIVAS;EXTRAÇÃO DE MINERAIS METÁLICOS;Extração de minério de ferro;7103;Extração de minério de ferro
INDÚSTRIAS EXTRATIVAS;EXTRAÇÃO DE MINERAIS METÁLICOS;Extração de minerais metálicos não-ferrosos;7235;Extração de minério de manganês
INDÚSTRIAS EXTRATIVAS;EXTRAÇÃO DE MINERAIS METÁLICOS;Extração de minerais metálicos não-ferrosos;7243;Extração de minério de metais preciosos
INDÚSTRIAS EXTRATIVAS;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS;Extração de pedra, areia e argila;8100;Extração de pedra, areia e argila
INDÚSTRIAS EXTRATIVAS;EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL;Extração de petróleo e gás natural;6000;Extração de petróleo e gás natural
INDÚSTRIAS EXTRATIVAS;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS;Extração de outros minerais não-metálicos;8924;Extração e refino de sal marinho e sal-gema
INDÚSTRIAS DE TRANSFORMAÇÃO;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;Confecção de artigos do vestuário e acessórios;14142;Fabricação de acessórios do vestuário, exceto para segurança e proteção
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;Fabricação e refino de açúcar;10716;Fabricação de açúcar em bruto
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;Fabricação e refino de açúcar;10724;Fabricação de açúcar refinado
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS QUÍMICOS;Fabricação de produtos e preparados químicos diversos;20916;Fabricação de adesivos e selantes
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS QUÍMICOS;Fabricação de produtos e preparados químicos diversos;20932;Fabricação de aditivos de uso industrial
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS QUÍMICOS;Fabricação de produtos químicos inorgânicos;20134;Fabricação de adubos e fertilizantes
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;Fabricação de aeronaves;30415;Fabricação de aeronaves
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE BEBIDAS;Fabricação de bebidas alcoólicas;11119;Fabricação de aguardentes e outras bebidas destiladas
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE BEBIDAS;Fabricação de bebidas não-alcoólicas;11216;Fabricação de águas envasadas
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS;Fabricação de biocombustíveis;19314;Fabricação de álcool
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;Fabricação de outros produtos alimentícios;10961;Fabricação de alimentos e pratos prontos
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;Moagem, fabricação de produtos amiláceos e de alimentos para animais;10660;Fabricação de alimentos para animais
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;Moagem, fabricação de produtos amiláceos e de alimentos para animais;10651;Fabricação de amidos e féculas de vegetais e de óleos de milho
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo;26400;Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;Fabricação de máquinas e equipamentos de uso geral;28241;Fabricação de aparelhos e equipamentos de ar condicionado
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;"Fabricação de aparelhos e instrumentos de medida, teste e controle; cronômetros e relógios";26515;Fabricação de aparelhos e equipamentos de medida, teste e controle
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS;Fabricação de equipamentos para distribuição e controle de energia elétrica;27317;Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;Fabricação de máquinas e equipamentos de uso geral;28216;Fabricação de aparelhos e equipamentos para instalações térmicas
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS;Fabricação de eletrodomésticos;27597;Fabricação de aparelhos eletrodomésticos não especificados anteriormente
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;26604;Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;Fabricação de equipamentos de comunicação;26329;Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO;Fabricação de produtos de borracha;22196;Fabricação de artefatos de borracha não especificados anteriormente
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;23303;Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS TÊXTEIS;Fabricação de artefatos têxteis, exceto vestuário;13537;Fabricação de artefatos de cordoaria
INDÚSTRIAS DE TRANSFORMAÇÃO;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;Fabricação de artigos para viagem e de artefatos diversos de couro;15297;Fabricação de artefatos de couro não especificados anteriormente
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS DE MADEIRA;Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis;16293;Fabricação de artefatos de madeira, palha, cortiça, vime e material trançado não especificados anteriormente, exceto móveis
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO;Fabricação de produtos de material plástico;22293;Fabricação de artefatos de material plástico não especificados anteriormente
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS DE MADEIRA;Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis;16234;Fabricação de artefatos de tanoaria e de embalagens de madeira
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS TÊXTEIS;Fabricação de artefatos têxteis, exceto vestuário;13529;Fabricação de artefatos de tapeçaria
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS DIVERSOS;Fabricação de artefatos para pesca e esporte;32302;Fabricação de artefatos para pesca e esporte
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS TÊXTEIS;Fabricação de artefatos têxteis, exceto vestuário;13511;Fabricação de artefatos têxteis para uso doméstico
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS;Fabricação de artigos de cutelaria, de serralheria e ferramentas;25411;Fabricação de artigos de cutelaria
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS;Fabricação de produtos de metal não especificados anteriormente;25934;Fabricação de artigos de metal para uso doméstico e pessoal
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS;Fabricação de artigos de cutelaria, de serralheria e ferramentas;25420;Fabricação de artigos de serralheria, exceto esquadrias
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;Fabricação de vidro e de produtos do vidro;23192;Fabricação de artigos de vidro
INDÚSTRIAS DE TRANSFORMAÇÃO;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;Fabricação de artigos de malharia e tricotagem;14223;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias
INDÚSTRIAS DE TRANSFORMAÇÃO;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;Fabricação de artigos para viagem e de artefatos diversos de couro;15211;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS;Fabricação de automóveis, camionetas e utilitários;29107;Fabricação de automóveis, camionetas e utilitários
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS;Fabricação de pilhas, baterias e acumuladores elétricos;27228;Fabricação de baterias e acumuladores para veículos automotores
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;Fabricação de equipamentos de transporte não especificados anteriormente;30920;Fabricação de bicicletas e triciclos não-motorizados
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS DIVERSOS;Fabricação de artigos de joalheria, bijuteria e semelhantes;32124;Fabricação de bijuterias e artefatos semelhantes
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS;Fabricação de biocombustíveis;19322;Fabricação de biocombustíveis, exceto álcool
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;Fabricação de outros produtos alimentícios;10929;Fabricação de biscoitos e bolachas
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS DIVERSOS;Fabricação de brinquedos e jogos recreativos;32400;Fabricação de brinquedos e jogos recreativos
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS;Fabricação de cabines, carrocerias e reboques para veículos automotores;29301;Fabricação de cabines, carrocerias e reboques para veículos automotores
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos;23923;Fabricação de cal e gesso
INDÚSTRIAS DE TRANSFORMAÇÃO;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;Fabricação de calçados;15319;Fabricação de calçados de couro
INDÚSTRIAS DE TRANSFORMAÇÃO;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;Fabricação de calçados;15394;Fabricação de calçados de materiais não especificados anteriormente
INDÚSTRIAS DE TRANSFORMAÇÃO;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;Fabricação de calçados;15335;Fabricação de calçados de material sintético
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS;Fabricação de tanques, reservatórios metálicos e caldeiras;25225;Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS;Fabricação de caminhões e ônibus;29204;Fabricação de caminhões e ônibus
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS;Fabricação de caminhões e ônibus;3420;Fabricação de caminhões e ônibus
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL;Fabricação de papel, cartolina e papel-cartão;17222;Fabricação de cartolina e papel-cartão
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS QUÍMICOS;Fabricação de produtos e preparados químicos diversos;20941;Fabricação de catalisadores
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL;Fabricação de celulose e outras pastas para a fabricação de papel;17109;Fabricação de celulose e outras pastas para a fabricação de papel
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL;Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado;17338;Fabricação de chapas e de embalagens de papelão ondulado
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;Fabricação de cimento;23206;Fabricação de cimento
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS QUÍMICOS;Fabricação de produtos químicos inorgânicos;20118;Fabricação de cloro e álcalis
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE MÓVEIS;Fabricação de móveis;31047;Fabricação de colchões
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;Fabricação de componentes eletrônicos;26108;Fabricação de componentes eletrônicos
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;Fabricação de motores, bombas, compressores e equipamentos de transmissão;28143;Fabricação de compressores
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;Fabricação de conservas de frutas, legumes e outros vegetais;10317;Fabricação de conservas de frutas
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;Fabricação de conservas de frutas, legumes e outros vegetais;10325;Fabricação de conservas de legumes e outros vegetais
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS QUÍMICOS;Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal;20631;Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;"Fabricação de aparelhos e instrumentos de medida, teste e controle; cronômetros e relógios";26523;Fabricação de cronômetros e relógios
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS QUÍMICOS;Fabricação de defensivos agrícolas e desinfestantes domissanitários;20517;Fabricação de defensivos agrícolas
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS QUÍMICOS;Fabricação de defensivos agrícolas e desinfestantes domissanitários;20525;Fabricação de desinfestantes domissanitários
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS QUÍMICOS;Fabricação de resinas e elastômeros;20339;Fabricação de elastômeros
