Seção;Divisão;Grupo;Classe;Denominação
SAÚDE HUMANA E SERVIÇOS SOCIAIS;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES;Atividades de assistência social prestadas em residências coletivas e particulares;87301;Atividades de assistência social prestadas em residências coletivas e particulares
OUTRAS ATIVIDADES DE SERVIÇOS;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais
SAÚDE HUMANA E SERVIÇOS SOCIAIS;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Atividades de atenção à saúde humana não especificadas anteriormente;86909;Atividades de atenção à saúde humana não especificadas anteriormente
SAÚDE HUMANA E SERVIÇOS SOCIAIS;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Atividades de atenção ambulatorial executadas por médicos e odontólogos;86305;Atividades de atenção ambulatorial executadas por médicos e odontólogos
SAÚDE HUMANA E SERVIÇOS SOCIAIS;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Atividades de atendimento hospitalar;86101;Atividades de atendimento hospitalar
ARTES, CULTURA, ESPORTE E RECREAÇÃO;ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL;Atividades ligadas ao patrimônio cultural e ambiental;91015;Atividades de bibliotecas e arquivos
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS;Outras atividades de serviços prestados principalmente às empresas;82911;Atividades de cobrança e informações cadastrais
ARTES, CULTURA, ESPORTE E RECREAÇÃO;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER;Atividades esportivas;93131;Atividades de condicionamento físico
ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL;Atividades de consultoria em gestão empresarial;70204;Atividades de consultoria em gestão empresarial
ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA;Atividades de contabilidade, consultoria e auditoria contábil e tributária;69206;Atividades de contabilidade, consultoria e auditoria contábil e tributária
ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA;Atividades de contabilidade, consultoria e auditoria contábil e tributária;7412;Atividades de contabilidade, consultoria e auditoria contábil e tributária
TRANSPORTE, ARMAZENAGEM E CORREIO;CORREIO E OUTRAS ATIVIDADES DE ENTREGA;Atividades de Correio;53105;Atividades de Correio
EDUCAÇÃO;EDUCAÇÃO;Outras atividades de ensino;85996;Atividades de ensino não especificadas anteriormente
INFORMAÇÃO E COMUNICAÇÃO;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA";Atividades cinematográficas, produção de vídeos e de programas de televisão;59146;Atividades de exibição cinematográfica
ARTES, CULTURA, ESPORTE E RECREAÇÃO;ATIVIDADES DE EXPLORAÇÃO DE JOGOS DE AZAR E APOSTAS;Atividades de exploração de jogos de azar e apostas;92003;Atividades de exploração de jogos de azar e apostas
SAÚDE HUMANA E SERVIÇOS SOCIAIS;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes, e de infra-estrutura e apoio a pacientes prestadas em residências coletivas e particulares;87123;Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio
INFORMAÇÃO E COMUNICAÇÃO;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA";Atividades de gravação de som e de edição de música;59201;Atividades de gravação de som e de edição de música
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE;Atividades auxiliares dos serviços financeiros;66126;Atividades de intermediários em transações de títulos, valores mobiliários e mercadorias
